_id,source,timestamp,name,city,country,postcode,street,categories,longitude,latitude,website,formatted_address
69c1c9ec21c9fc4ece6b36a7,geoapify_json,2026-03-24 00:17:00.277,Spomen-park Vraca,Sarajevo,Bosnia and Herzegovina,71000,Teočačka,"natural, natural.forest, tourism, tourism.sights",18.397842836204582,43.843487800537176,,"Vraca Memorial Park, Teočačka, 71000 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36a8,geoapify_json,2026-03-24 00:17:00.278,Kasarna Jajce,Sarajevo,Bosnia and Herzegovina,71200,Bijela česma,"building, building.historic, no_access, tourism, tourism.sights",18.440023765856957,43.86088505053674,,"Jajce (former military barracks), Bijela česma, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36a9,geoapify_json,2026-03-24 00:17:00.278,Vijećnica,Sarajevo,Bosnia and Herzegovina,71200,Brodac,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.monument",18.43334677255322,43.85916650053677,,"City Hall, Brodac 1, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36aa,geoapify_json,2026-03-24 00:17:00.279,Kula Širokac,Sarajevo,Bosnia and Herzegovina,71200,Vratnik mejdan,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.437060750328783,43.8623327005367,,"Kula Širokac, Vratnik mejdan, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ab,geoapify_json,2026-03-24 00:17:00.279,Višegradska kapija,Sarajevo,Bosnia and Herzegovina,71200,Višegradska kapija,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.445762311111014,43.861882400536714,,"Višegradska kapija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ac,geoapify_json,2026-03-24 00:17:00.279,Crkva svetog Vinka Paulskoga,Sarajevo,Bosnia and Herzegovina,71000,Maršala Tita,"building, building.historic, building.place_of_worship, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.church",18.41883045907473,43.858707200536784,,"Crkva svetog Vinka Paulskoga, Maršala Tita, 71000 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ad,geoapify_json,2026-03-24 00:17:00.280,Museum of the Jews of Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,71000,Velika avlija - Mula Mustafe Bašeskije,"building, building.historic, building.tourism, entertainment, entertainment.museum, heritage, tourism, tourism.sights",18.427801026409924,43.85983370053676,,"Museum of the Jews of Bosnia and Herzegovina, Velika avlija - Mula Mustafe Bašeskije bb, 71000 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ae,geoapify_json,2026-03-24 00:17:00.280,Sarajevska sahat-kula,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti veliki,"building, building.historic, building.tourism, heritage, man_made, man_made.tower, tourism, tourism.attraction, tourism.sights, tourism.sights.tower",18.428558717983485,43.85920950053678,,"Sarajevo Clock Tower, Mudželiti veliki, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36af,geoapify_json,2026-03-24 00:17:00.280,At mejdan,Sarajevo,Bosnia and Herzegovina,71144,Hamdije Kreševljakovića,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42718282322576,43.856672250536846,,"At mejdan, Hamdije Kreševljakovića, 71144 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b0,geoapify_json,2026-03-24 00:17:00.281,Tašlihan,Sarajevo,Bosnia and Herzegovina,71144,Zelenih beretki,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42791229528881,43.85859200053679,,"Tašlihan, Zelenih beretki, 71144 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b1,geoapify_json,2026-03-24 00:17:00.282,Velika kula Barice,City of Sarajevo,Bosnia and Herzegovina,71200,Barice,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.442555774850888,43.88391380053615,,"Velika kula Barice, Barice, 71200 City of Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b2,geoapify_json,2026-03-24 00:17:00.282,Džamija Šejh Feraha,Sarajevo,Bosnia and Herzegovina,71200,Abdesthana,"building, building.historic, building.place_of_worship, heritage, religion, religion.place_of_worship, religion.place_of_worship.islam, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.mosque",18.432882184146344,43.86157620053672,,"Džamija Šejh Feraha, Abdesthana, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b3,geoapify_json,2026-03-24 00:17:00.282,Zgrada željezničke stanice Bistrik,Sarajevo,Bosnia and Herzegovina,71144,Put Mladih Muslimana,"building, building.historic, building.tourism, building.transportation, entertainment, entertainment.museum, tourism, tourism.sights",18.432780699999995,43.852725250536935,,"Zgrada željezničke stanice Bistrik, Put Mladih Muslimana, 71144 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b4,geoapify_json,2026-03-24 00:17:00.283,Palež kula,MZ Trebević,Bosnia and Herzegovina,71144,Књегињац,"building, building.historic, tourism, tourism.sights, tourism.sights.fort",18.42649774877675,43.838180100537286,,"Palež kula, Књегињац, 71144 MZ Trebević, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b5,geoapify_json,2026-03-24 00:17:00.283,Kula Ploče,Sarajevo,Bosnia and Herzegovina,71200,Dizdareva,"building, building.historic, tourism, tourism.sights, tourism.sights.city_gate",18.43657015901379,43.86315605053667,,"Kula Ploče, Dizdareva, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b6,geoapify_json,2026-03-24 00:17:00.283,Kuća Alije Đerzeleza,Sarajevo,Bosnia and Herzegovina,71200,Sagrdžije,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights",18.429591774258867,43.86443245053664,,"Kuća Alije Đerzeleza, Sagrdžije, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b7,geoapify_json,2026-03-24 00:17:00.284,Hastahana,Sarajevo,Bosnia and Herzegovina,,,"tourism, tourism.sights, tourism.sights.square",18.410173715520433,43.85736105053682,,"Hastahana, Mjesna zajednica Marijin Dvor, Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b8,geoapify_json,2026-03-24 00:17:00.284,Gazi Husrev-begovo turbe,Sarajevo,Bosnia and Herzegovina,71200,Čizmedžiluk,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.tomb",18.42934343549286,43.85918000053678,,"Tomb of Gazi Khusrev-beg, Čizmedžiluk, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b9,geoapify_json,2026-03-24 00:17:00.285,Šeher-ćehajina ćuprija,Sarajevo,Bosnia and Herzegovina,71200,Šeher-ćehajina ćuprija,"heritage, tourism, tourism.sights",18.434052332226834,43.85875590053679,,"Šeher-ćehaja Bridge, Šeher-ćehajina ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ba,geoapify_json,2026-03-24 00:17:00.285,Goat's Bridge,Sarajevo,Bosnia and Herzegovina,71200,Kozija ćuprija,"heritage, man_made, man_made.bridge, tourism, tourism.sights, tourism.sights.bridge",18.457187030166352,43.853652550536914,,"Goat's Bridge, Kozija ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36bb,sample_csv,2026-03-24 00:17:00.286,,,,,,,,,,
69c1c9ec21c9fc4ece6b36bc,sample_csv,2026-03-24 00:17:00.286,,,,,,,,,,
69c1c9ec21c9fc4ece6b36bd,sample_csv,2026-03-24 00:17:00.287,,,,,,,,,,
69c1c9ec21c9fc4ece6b36be,sample_xml,2026-03-24 00:17:00.287,,,,,,,,,,
69c1c9ec21c9fc4ece6b36bf,sample_xml,2026-03-24 00:17:00.288,,,,,,,,,,
69c1d4919daa1ee998f75056,geoapify_api,2026-03-24 01:02:25.881,Dom Oružanih snaga BiH,Sarajevo,Bosnia and Herzegovina,71000,Zelenih beretki,"activity, activity.community_center, building, building.historic, building.public_and_civil, heritage, tourism, tourism.sights",18.424119991873905,43.857283450536826,http://www.mod.gov.ba/,"Armed Forces Hall of Bosnia and Herzegovina, Zelenih beretki 2, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75057,geoapify_api,2026-03-24 01:02:25.902,Zajednički štab Oružanih snaga BiH,Sarajevo,Bosnia and Herzegovina,71000,Bistrik,"building, building.historic, building.military, building.office, office, office.government, tourism, tourism.sights",18.42997029604072,43.85677605053684,http://www.mod.gov.ba/,"Joint Staff of the Armed Forces of BiH, Bistrik 5, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75058,geoapify_api,2026-03-24 01:02:25.903,Gazi Husrev-begov bezistan,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti mali,"building, building.commercial, building.historic, commercial.marketplace, tourism, tourism.sights",18.428078799964112,43.858746650536794,,"Gazi Husrev Bey's Bezistan, Mudželiti mali, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75059,geoapify_api,2026-03-24 01:02:25.903,Aškenaška sinagoga,Sarajevo,Bosnia and Herzegovina,71000,Hamdije Kreševljakovića,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.judaism, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.synagogue, wheelchair, wheelchair.limited",18.42508063267082,43.85631050053685,,"Ashkenazi Synagogue, Hamdije Kreševljakovića, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7505a,geoapify_api,2026-03-24 01:02:25.904,Katedrala Srca Isusova,Sarajevo,Bosnia and Herzegovina,71000,Trg Fra Grge Martića,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.cathedral",18.425363070006362,43.859430400536766,https://katedrala-sarajevo.com/,"Sacred Heart Cathedral, Trg Fra Grge Martića, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7505b,geoapify_api,2026-03-24 01:02:25.904,Žuta tabija,Sarajevo,Bosnia and Herzegovina,71200,Bijela česma,"tourism, tourism.attraction, tourism.attraction.viewpoint, tourism.sights, tourism.sights.castle",18.437723658241435,43.86145795053672,,"Žuta tabija, Bijela česma, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7505c,geoapify_api,2026-03-24 01:02:25.904,Bijela tabija,Sarajevo,Bosnia and Herzegovina,71200,Poddžebhana,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.castle",18.444489951844396,43.85936525053677,,"Bijela tabija, Poddžebhana, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7505d,geoapify_api,2026-03-24 01:02:25.905,Stari grad Vratnik,City of Sarajevo,Bosnia and Herzegovina,,,"populated_place, populated_place.quarter, tourism, tourism.sights",18.441290705076725,43.86307795053668,,"Stari grad Vratnik, MZ ""Vratnik"", City of Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1d4919daa1ee998f7505e,geoapify_api,2026-03-24 01:02:25.905,Bistrik Kula,Sarajevo,Bosnia and Herzegovina,71144,Old Bobsleigh track,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.43811875367792,43.84218715053719,,"Bistrik Kula, Old Bobsleigh track, 71144 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7505f,geoapify_api,2026-03-24 01:02:25.905,Trg oslobođenja - Alija Izetbegović,Sarajevo,Bosnia and Herzegovina,,,"leisure, leisure.park, tourism, tourism.sights, tourism.sights.square",18.424207494739104,43.85835360053679,,"Trg oslobođenja - Alija Izetbegović, MZ ""Ferhadija"", Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1d4919daa1ee998f75060,geoapify_api,2026-03-24 01:02:25.906,Spomen-park Vraca,Sarajevo,Bosnia and Herzegovina,71000,Teočačka,"natural, natural.forest, tourism, tourism.sights",18.397842836204582,43.843487800537176,,"Vraca Memorial Park, Teočačka, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75061,geoapify_api,2026-03-24 01:02:25.906,Kasarna Jajce,Sarajevo,Bosnia and Herzegovina,71200,Bijela česma,"building, building.historic, no_access, tourism, tourism.sights",18.440023765856957,43.86088505053674,,"Jajce (former military barracks), Bijela česma, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75062,geoapify_api,2026-03-24 01:02:25.907,Vijećnica,Sarajevo,Bosnia and Herzegovina,71200,Brodac,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.monument",18.43334677255322,43.85916650053677,,"City Hall, Brodac 1, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75063,geoapify_api,2026-03-24 01:02:25.907,Kula Širokac,Sarajevo,Bosnia and Herzegovina,71200,Vratnik mejdan,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.437060750328783,43.8623327005367,,"Kula Širokac, Vratnik mejdan, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75064,geoapify_api,2026-03-24 01:02:25.907,Višegradska kapija,Sarajevo,Bosnia and Herzegovina,71200,Višegradska kapija,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.445762311111014,43.861882400536714,,"Višegradska kapija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75065,geoapify_api,2026-03-24 01:02:25.908,Crkva svetog Vinka Paulskoga,Sarajevo,Bosnia and Herzegovina,71000,Maršala Tita,"building, building.historic, building.place_of_worship, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.church",18.41883045907473,43.858707200536784,,"Crkva svetog Vinka Paulskoga, Maršala Tita, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75066,geoapify_api,2026-03-24 01:02:25.908,Museum of the Jews of Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,71000,Velika avlija - Mula Mustafe Bašeskije,"building, building.historic, building.tourism, entertainment, entertainment.museum, heritage, tourism, tourism.sights",18.427801026409924,43.85983370053676,,"Museum of the Jews of Bosnia and Herzegovina, Velika avlija - Mula Mustafe Bašeskije bb, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75067,geoapify_api,2026-03-24 01:02:25.908,Sarajevska sahat-kula,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti veliki,"building, building.historic, building.tourism, heritage, man_made, man_made.tower, tourism, tourism.attraction, tourism.sights, tourism.sights.tower",18.428558717983485,43.85920950053678,,"Sarajevo Clock Tower, Mudželiti veliki, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75068,geoapify_api,2026-03-24 01:02:25.909,At mejdan,Sarajevo,Bosnia and Herzegovina,71144,Hamdije Kreševljakovića,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42718282322576,43.856672250536846,,"At mejdan, Hamdije Kreševljakovića, 71144 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75069,geoapify_api,2026-03-24 01:02:25.909,Tašlihan,Sarajevo,Bosnia and Herzegovina,71144,Zelenih beretki,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42791229528881,43.85859200053679,,"Tašlihan, Zelenih beretki, 71144 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7506a,geoapify_api,2026-03-24 01:02:25.910,Velika kula Barice,City of Sarajevo,Bosnia and Herzegovina,71200,Barice,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.442555774850888,43.88391380053615,,"Velika kula Barice, Barice, 71200 City of Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7506b,geoapify_api,2026-03-24 01:02:25.910,Džamija Šejh Feraha,Sarajevo,Bosnia and Herzegovina,71200,Abdesthana,"building, building.historic, building.place_of_worship, heritage, religion, religion.place_of_worship, religion.place_of_worship.islam, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.mosque",18.432882184146344,43.86157620053672,,"Džamija Šejh Feraha, Abdesthana, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7506c,geoapify_api,2026-03-24 01:02:25.911,Zgrada željezničke stanice Bistrik,Sarajevo,Bosnia and Herzegovina,71144,Put Mladih Muslimana,"building, building.historic, building.tourism, building.transportation, entertainment, entertainment.museum, tourism, tourism.sights",18.432780699999995,43.852725250536935,,"Zgrada željezničke stanice Bistrik, Put Mladih Muslimana, 71144 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7506d,geoapify_api,2026-03-24 01:02:25.911,Palež kula,MZ Trebević,Bosnia and Herzegovina,71144,Књегињац,"building, building.historic, tourism, tourism.sights, tourism.sights.fort",18.42649774877675,43.838180100537286,,"Palež kula, Књегињац, 71144 MZ Trebević, Bosnia and Herzegovina"
69c1d4919daa1ee998f7506e,geoapify_api,2026-03-24 01:02:25.912,Kula Ploče,Sarajevo,Bosnia and Herzegovina,71200,Dizdareva,"building, building.historic, tourism, tourism.sights, tourism.sights.city_gate",18.43657015901379,43.86315605053667,,"Kula Ploče, Dizdareva, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f7506f,geoapify_api,2026-03-24 01:02:25.912,Kuća Alije Đerzeleza,Sarajevo,Bosnia and Herzegovina,71200,Sagrdžije,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights",18.429591774258867,43.86443245053664,,"Kuća Alije Đerzeleza, Sagrdžije, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75070,geoapify_api,2026-03-24 01:02:25.913,Hastahana,Sarajevo,Bosnia and Herzegovina,,,"tourism, tourism.sights, tourism.sights.square",18.410173715520433,43.85736105053682,,"Hastahana, Mjesna zajednica Marijin Dvor, Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1d4919daa1ee998f75071,geoapify_api,2026-03-24 01:02:25.913,Gazi Husrev-begovo turbe,Sarajevo,Bosnia and Herzegovina,71200,Čizmedžiluk,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.tomb",18.42934343549286,43.85918000053678,,"Tomb of Gazi Khusrev-beg, Čizmedžiluk, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75072,geoapify_api,2026-03-24 01:02:25.913,Šeher-ćehajina ćuprija,Sarajevo,Bosnia and Herzegovina,71200,Šeher-ćehajina ćuprija,"heritage, tourism, tourism.sights",18.434052332226834,43.85875590053679,,"Šeher-ćehaja Bridge, Šeher-ćehajina ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d4919daa1ee998f75073,geoapify_api,2026-03-24 01:02:25.914,Goat's Bridge,Sarajevo,Bosnia and Herzegovina,71200,Kozija ćuprija,"heritage, man_made, man_made.bridge, tourism, tourism.sights, tourism.sights.bridge",18.457187030166352,43.853652550536914,,"Goat's Bridge, Kozija ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a685a,geoapify_api,2026-03-24 01:05:11.442,Dom Oružanih snaga BiH,Sarajevo,Bosnia and Herzegovina,71000,Zelenih beretki,"activity, activity.community_center, building, building.historic, building.public_and_civil, heritage, tourism, tourism.sights",18.424119991873905,43.857283450536826,http://www.mod.gov.ba/,"Armed Forces Hall of Bosnia and Herzegovina, Zelenih beretki 2, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a685b,geoapify_api,2026-03-24 01:05:11.445,Zajednički štab Oružanih snaga BiH,Sarajevo,Bosnia and Herzegovina,71000,Bistrik,"building, building.historic, building.military, building.office, office, office.government, tourism, tourism.sights",18.42997029604072,43.85677605053684,http://www.mod.gov.ba/,"Joint Staff of the Armed Forces of BiH, Bistrik 5, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a685c,geoapify_api,2026-03-24 01:05:11.446,Gazi Husrev-begov bezistan,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti mali,"building, building.commercial, building.historic, commercial.marketplace, tourism, tourism.sights",18.428078799964112,43.858746650536794,,"Gazi Husrev Bey's Bezistan, Mudželiti mali, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a685d,geoapify_api,2026-03-24 01:05:11.447,Aškenaška sinagoga,Sarajevo,Bosnia and Herzegovina,71000,Hamdije Kreševljakovića,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.judaism, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.synagogue, wheelchair, wheelchair.limited",18.42508063267082,43.85631050053685,,"Ashkenazi Synagogue, Hamdije Kreševljakovića, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a685e,geoapify_api,2026-03-24 01:05:11.447,Katedrala Srca Isusova,Sarajevo,Bosnia and Herzegovina,71000,Trg Fra Grge Martića,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.cathedral",18.425363070006362,43.859430400536766,https://katedrala-sarajevo.com/,"Sacred Heart Cathedral, Trg Fra Grge Martića, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a685f,geoapify_api,2026-03-24 01:05:11.448,Žuta tabija,Sarajevo,Bosnia and Herzegovina,71200,Bijela česma,"tourism, tourism.attraction, tourism.attraction.viewpoint, tourism.sights, tourism.sights.castle",18.437723658241435,43.86145795053672,,"Žuta tabija, Bijela česma, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6860,geoapify_api,2026-03-24 01:05:11.448,Bijela tabija,Sarajevo,Bosnia and Herzegovina,71200,Poddžebhana,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.castle",18.444489951844396,43.85936525053677,,"Bijela tabija, Poddžebhana, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6861,geoapify_api,2026-03-24 01:05:11.448,Stari grad Vratnik,City of Sarajevo,Bosnia and Herzegovina,,,"populated_place, populated_place.quarter, tourism, tourism.sights",18.441290705076725,43.86307795053668,,"Stari grad Vratnik, MZ ""Vratnik"", City of Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6862,geoapify_api,2026-03-24 01:05:11.449,Bistrik Kula,Sarajevo,Bosnia and Herzegovina,71144,Old Bobsleigh track,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.43811875367792,43.84218715053719,,"Bistrik Kula, Old Bobsleigh track, 71144 Sarajevo, Bosnia and Herzegovina"
